scenario_id,pairs,mean,median,standard_deviation,interquartile_range,minimum,maximum,scenario_cluster_bootstrap_mean_ci_lower_95,scenario_cluster_bootstrap_mean_ci_upper_95
S01,6,0.3405896420253148,0.3638051225260528,0.15352363392671303,0.07436195275733609,0.08695652173913043,0.5595432300163132,0.3405896420253148,0.3405896420253148
S02,6,0.3669785793810414,0.3967382127710293,0.19457501436334523,0.09046578255116144,0.012658227848101266,0.5965811965811966,0.3669785793810414,0.3669785793810414
S03,6,0.3947808077910125,0.35325443786982247,0.1178520111365582,0.16822674238138652,0.2675862068965517,0.5559006211180124,0.3947808077910125,0.3947808077910125
S04,6,0.4586709824730126,0.4824314680324084,0.1690998641516443,0.2601948632503213,0.23792486583184258,0.6526717557251909,0.4586709824730126,0.4586709824730126
S05,6,0.44678599885023856,0.48003899380007464,0.15795563642750016,0.25220494403710414,0.23065693430656933,0.6035242290748899,0.44678599885023856,0.44678599885023856
S06,6,0.4356625600452007,0.41534936700055647,0.20545286664348192,0.3587804223870255,0.21216041397153945,0.6573426573426573,0.4356625600452007,0.4356625600452007
S07,6,0.5024848364994038,0.4483614588664079,0.14279951729843093,0.21352370937929915,0.37750385208012327,0.711038961038961,0.5024848364994038,0.5024848364994038
S08,6,0.45444813069404694,0.4387468676743998,0.17331185012749184,0.27202784281775544,0.23493975903614459,0.6560509554140127,0.45444813069404694,0.45444813069404694
S09,6,0.47306685883480587,0.5183316178383843,0.19180435324316936,0.24769338968855348,0.17427884615384615,0.6762589928057554,0.47306685883480587,0.47306685883480587
S10,6,0.4918636809549288,0.5181043113858985,0.2215665324848656,0.32174062720318053,0.16183574879227053,0.7102137767220903,0.4918636809549288,0.4918636809549288
S11,6,0.4932614042112616,0.4694406729079831,0.1514030575304163,0.14855160884863117,0.2804123711340206,0.7138461538461538,0.4932614042112616,0.4932614042112616
S12,6,0.4866176268525018,0.49372318728461917,0.1958996845549121,0.28932489412154055,0.26443768996960487,0.75564681724846,0.4866176268525018,0.4866176268525018
S13,6,0.507926248501107,0.4966835273907234,0.18379242359924158,0.10964706471931202,0.2395005675368899,0.8007380073800738,0.507926248501107,0.507926248501107
S14,6,0.49481775052951105,0.5333476282372,0.2076622096595674,0.251134365631569,0.1912087912087912,0.7581395348837209,0.49481775052951105,0.49481775052951105
S15,6,0.5119993158858432,0.5586979216095663,0.223262399020568,0.14557522881140583,0.11837655016910936,0.7780678851174935,0.5119993158858432,0.5119993158858432
S16,6,0.4648026073525266,0.5116988171146206,0.21379900673667696,0.1701708400805767,0.1468459152016546,0.7735849056603774,0.4648026073525266,0.4648026073525266
S17,6,0.5366251037979036,0.5812202591283864,0.221438364659217,0.07322482577785439,0.11192468619246862,0.7601156069364162,0.5366251037979036,0.5366251037979036
S18,6,0.5328272318371939,0.5503360215053763,0.17022175594767344,0.10422151708203398,0.22857142857142856,0.7342192691029901,0.5328272318371939,0.5328272318371939
S19,6,0.46782753841438635,0.5389184569784298,0.22513635249908284,0.17198843079143422,0.1021978021978022,0.754874651810585,0.46782753841438635,0.46782753841438635
S20,6,0.4485386822549388,0.48136898765733593,0.23845974217815077,0.22613708577303937,0.07674144037780402,0.7662337662337663,0.4485386822549388,0.4485386822549388
S21,6,0.5230732707259561,0.5659423901126284,0.19098710995243884,0.2048534263053805,0.2754491017964072,0.7987421383647799,0.5230732707259561,0.5230732707259561
S22,6,0.4828281518054143,0.5354509473007454,0.2296609147760082,0.19975299020416987,0.1345496009122007,0.8011869436201781,0.4828281518054143,0.4828281518054143
S23,6,0.5065581599798546,0.5897146847565842,0.23733890321578982,0.22227621209396398,0.10476190476190476,0.7636363636363637,0.5065581599798546,0.5065581599798546
S24,6,0.521209076478658,0.618010456050218,0.2510932560571438,0.24587011169622586,0.0970231532524807,0.7738853503184714,0.521209076478658,0.521209076478658
S25,6,0.5448752564276006,0.5679302164673321,0.24576384804823317,0.12518510804267158,0.08919722497522299,0.8084507042253521,0.5448752564276006,0.5448752564276006
S26,6,0.529308474970982,0.49,0.08182205406874624,0.08941519889174748,0.4676258992805755,0.6708860759493671,0.529308474970982,0.529308474970982
S27,6,0.6206576654250756,0.6055996472663139,0.0659318215428637,0.07105548772215442,0.5507246376811594,0.7303370786516854,0.6206576654250756,0.6206576654250756
S28,6,0.6304121576371103,0.6067816091954024,0.16281673178704334,0.2212784014969259,0.4838709677419355,0.88,0.6304121576371103,0.6304121576371103
S29,6,0.45436836544738474,0.4565126050420168,0.09308662240588592,0.021218136083865025,0.3103448275862069,0.6031746031746031,0.45436836544738474,0.45436836544738474
S30,6,0.5232925009564814,0.549908424908425,0.11575990782279375,0.14399362132120752,0.34782608695652173,0.65625,0.5232925009564814,0.5232925009564814
S31,6,0.51021958440363,0.48289748433926616,0.11749418593784788,0.12952521415696983,0.3488372093023256,0.673469387755102,0.51021958440363,0.51021958440363
S32,6,0.6612824820037623,0.6626035318018441,0.068156071100934,0.059893833145471476,0.5666666666666667,0.7674418604651163,0.6612824820037623,0.6612824820037623
S33,6,0.5094414649677808,0.5086124401913875,0.12873129875432537,0.11193609022556383,0.38,0.7362637362637363,0.5094414649677808,0.5094414649677808
S34,6,0.6031779667446611,0.621606334841629,0.12196371061809387,0.15533187814670824,0.42857142857142855,0.7571428571428571,0.6031779667446611,0.6031779667446611
S35,6,0.5609576592358735,0.5514157973174366,0.046745685537298146,0.04673062593144561,0.4943820224719101,0.6268656716417911,0.5609576592358735,0.5609576592358735
S36,6,0.562069946033363,0.5702247191011236,0.11100405628111308,0.1962794158354026,0.44155844155844154,0.68,0.562069946033363,0.562069946033363
S37,6,0.4922754766998662,0.5205254515599343,0.11401955103669202,0.02442911746450771,0.2682926829268293,0.5957446808510638,0.4922754766998662,0.4922754766998662
S38,6,0.5754685812062862,0.5787037037037037,0.07227086131911033,0.0865500240500241,0.45901639344262296,0.65,0.5754685812062862,0.5754685812062862
S39,6,0.4510829998598716,0.43733766233766236,0.18693026761385634,0.12417122351332882,0.18309859154929578,0.75,0.4510829998598716,0.4510829998598716
S40,6,0.5297562455574626,0.5087179487179487,0.13341156518561872,0.15003978779840843,0.4117647058823529,0.7586206896551724,0.5297562455574626,0.5297562455574626
S41,6,0.48315112954354306,0.5040212891780012,0.11283955367438644,0.1512984539158071,0.3148148148148148,0.6086956521739131,0.48315112954354306,0.48315112954354306
S42,6,0.5727819076385089,0.5874683544303797,0.1255104025974769,0.11323498236816887,0.36923076923076925,0.7341772151898734,0.5727819076385089,0.5727819076385089
S43,6,0.4969954467833306,0.4778059606848446,0.08764074785246659,0.13354329349565702,0.40298507462686567,0.6122448979591837,0.4969954467833306,0.4969954467833306
S44,6,0.6280466379947085,0.6836438923395445,0.11879955662458962,0.15100561963916004,0.43478260869565216,0.7213114754098361,0.6280466379947085,0.6280466379947085
S45,6,0.5990916766967649,0.5869252873563218,0.10422288531462288,0.1016734279918865,0.46808510638297873,0.7638888888888888,0.5990916766967649,0.5990916766967649
S46,6,0.5592436087446778,0.5538302277432712,0.11230264774596174,0.16726911719784132,0.43333333333333335,0.7142857142857143,0.5592436087446778,0.5592436087446778
S47,6,0.6405928430228028,0.6737068965517241,0.11915746173345962,0.025250160253388776,0.4111111111111111,0.7619047619047619,0.6405928430228028,0.6405928430228028
S48,6,0.5970173221034166,0.612295081967213,0.1405754927495334,0.21320729772607083,0.4,0.7317073170731707,0.5970173221034166,0.5970173221034166
S49,6,0.526811150910721,0.5620915032679739,0.12902098542292337,0.13796624971827814,0.3010752688172043,0.639344262295082,0.526811150910721,0.526811150910721
S50,6,0.5205983356073495,0.5262164846077457,0.05613562887527561,0.0593897068347653,0.4262295081967213,0.5797101449275363,0.5205983356073495,0.5205983356073495
