effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value,cohens_d,n
framing,hi,pooled,Authority/Subversion,-0.3333333333333333,-0.7570892089806143,0.0904225423139477,0.133972515871563,-0.2814870737309186,30
framing,bn,pooled,Authority/Subversion,0.06666666666666667,-0.2295155284773131,0.3628488618106464,0.6623617732618725,0.08054623361424615,30
framing,ta,pooled,Authority/Subversion,0.13333333333333333,-0.09168351575908221,0.3583501824257489,0.25495195404538173,0.21204065721006796,30
framing,es,pooled,Authority/Subversion,-0.4666666666666667,-0.7598520002813332,-0.17348133305200014,0.0040697030147966995,-0.5695868886695797,30
framing,ja,pooled,Authority/Subversion,-0.16666666666666666,-0.506581914160696,0.1732485808273627,0.3444851289441089,-0.17545815065905712,30
framing,ar,pooled,Authority/Subversion,-0.03333333333333333,-0.5436029788259014,0.4769363121592347,0.8990035642695218,-0.023376229110609225,30
framing,hi,pooled,Care/Harm,0.030303030303030304,-0.21815964424345272,0.27876570484951335,0.8125945339053031,0.04161251892882395,33
framing,bn,pooled,Care/Harm,-0.15151515151515152,-0.4720498860912794,0.1690195830609764,0.3611307157685326,-0.16127983385863243,33
framing,ta,pooled,Care/Harm,-0.30303030303030304,-0.7074982334072337,0.10143762734662765,0.15174526735229898,-0.25562367177136913,33
framing,es,pooled,Care/Harm,-0.3333333333333333,-0.6119156027046643,-0.054751063962002355,0.02538051574963296,-0.4082482904638631,33
framing,ja,pooled,Care/Harm,0.15151515151515152,-0.05952146962849783,0.3625517726588009,0.16900889021507393,0.24496122264566694,33
framing,ar,pooled,Care/Harm,-0.18181818181818182,-0.41470756664440855,0.05107120300804488,0.13579783500882425,-0.26637086328481074,33
framing,hi,pooled,Fairness/Cheating,-0.3,-0.533049942849315,-0.06695005715068506,0.017372355451692245,-0.4606464174952623,30
framing,bn,pooled,Fairness/Cheating,-0.3,-0.533049942849315,-0.06695005715068506,0.017372355451692245,-0.4606464174952623,30
framing,ta,pooled,Fairness/Cheating,-0.4,-0.782882473489904,-0.01711752651009596,0.049749398662357835,-0.3738435985068868,30
framing,es,pooled,Fairness/Cheating,-0.3333333333333333,-0.6633620096677771,-0.003304656998889488,0.057307279502127884,-0.3614285968633786,30
framing,ja,pooled,Fairness/Cheating,0.26666666666666666,-0.02951552847731309,0.5628488618106464,0.0881489495494896,0.3221849344569846,30
framing,ar,pooled,Fairness/Cheating,-0.26666666666666666,-0.7264074565360579,0.19307412320272455,0.26489867284430435,-0.2075635732841947,30
framing,hi,pooled,Loyalty/Betrayal,-0.2,-0.39712321836453157,-0.002876781635468423,0.056254969909166785,-0.36306773723119745,30
framing,bn,pooled,Loyalty/Betrayal,0.03333333333333333,-0.18672294647600296,0.2533896131426696,0.7686637844359518,0.0542051340300698,30
framing,ta,pooled,Loyalty/Betrayal,0.36666666666666664,0.04821360499128968,0.6851197283420436,0.0317323521669266,0.41202298656877706,30
framing,es,pooled,Loyalty/Betrayal,-0.2,-0.48812130267904735,0.08812130267904733,0.1841413421887168,-0.2483991297480217,30
framing,ja,pooled,Loyalty/Betrayal,0.13333333333333333,-0.23942023949144833,0.506086906158115,0.4888355698202069,0.1280007062127411,30
framing,ar,pooled,Loyalty/Betrayal,0,-0.21013405682820777,0.21013405682820777,1,0,30
framing,hi,pooled,Sanctity/Degradation,0,-0.2339308588528814,0.2339308588528814,1,0,27
framing,bn,pooled,Sanctity/Degradation,-0.2222222222222222,-0.4855027174801996,0.041058273035755155,0.1100825792952358,-0.31837795529394614,27
framing,ta,pooled,Sanctity/Degradation,-0.18518518518518517,-0.41998085607744806,0.049610485707077684,0.13422300670764886,-0.29750231137309024,27
framing,es,pooled,Sanctity/Degradation,-0.48148148148148145,-0.7841552963694655,-0.17880766659349745,0.004412390189922011,-0.6000382376103702,27
framing,ja,pooled,Sanctity/Degradation,-0.1111111111111111,-0.3021148575379753,0.07989263531575305,0.2646080023134534,-0.21942686286812776,27
framing,ar,pooled,Sanctity/Degradation,-0.5925925925925926,-0.9276818581174688,-0.2575033270677163,0.0018481730204056301,-0.6670676692091927,27
